SaleID,CustomerID,ProductID,Quantity,UnitPrice,SaleDate,Revenue
1,101,201,5,50,2023-01-01 00:00:00,250
2,102,202,3,60,2023-02-01 00:00:00,180
3,103,203,8,70,2023-03-01 00:00:00,560
4,104,204,2,55,2023-04-01 00:00:00,110
5,101,205,4,45,2023-05-01 00:00:00,180
6,106,206,7,65,2023-06-01 00:00:00,455
7,107,207,6,30,2023-07-01 00:00:00,180
8,108,208,1,40,2023-08-01 00:00:00,40
9,101,209,9,35,2023-09-01 00:00:00,315
10,110,210,10,25,2023-10-01 00:00:00,250
11,134,234,10,536,2023-10-01 00:00:00,656
